Country Name,Ladder Score,Log GDP per capita,Social support,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,2018_gdp,2018_growth,2018_life,2018_co2,Regional indicator
Guinea,5.252,7.823,0.63,0.731,0.092,0.778,0.744,0.44,11857030337.0,6.358491927,61.185,3120.0,Sub-Saharan Africa
Haiti,3.615,7.477,0.538,0.591,0.422,0.72,0.584,0.359,15965670198.0,1.667826664,63.66,3330.0,Latin America and Caribbean
Honduras,5.908,8.643,0.827,0.872,0.099,0.804,0.872,0.287,24067778954.0,3.84499477,75.088,9770.0,Latin America and Caribbean
Hungary,5.936,10.344,0.941,0.693,-0.243,0.911,0.676,0.201,160000000000.0,5.399709209,76.06585366,46390.0,Central and Eastern Europe
India,3.818,8.779,0.638,0.89,0.085,0.805,0.657,0.357,2700000000000.0,6.532989011,69.416,2434520.0,South Asia
Indonesia,5.34,9.339,0.809,0.879,0.512,0.868,0.864,0.296,1040000000000.0,5.17429154,71.509,583110.0,Southeast Asia
Iraq,4.886,9.274,0.764,0.598,-0.068,0.887,0.605,0.482,212000000000.0,-1.213963399,70.454,188140.0,Middle East and North Africa
Ireland,6.962,11.332,0.938,0.861,0.144,0.362,0.811,0.213,385000000000.0,9.0301611,82.25609756,37110.0,Western Europe
Israel,6.927,10.585,0.91,0.725,0.055,0.77,0.663,0.282,370000000000.0,3.479370319,82.80243902,61970.0,Middle East and North Africa
Italy,6.517,10.65,0.913,0.65,-0.021,0.888,0.649,0.403,2090000000000.0,0.941737193,83.34634146,324850.0,Western Europe
Japan,5.794,10.623,0.886,0.773,-0.261,0.687,0.703,0.185,5040000000000.0,0.558851275,84.21097561,1106150.0,East Asia
Jordan,4.639,9.196,0.8,0.762,-0.186,,,,42932112676.0,1.934091701,74.405,24700.0,Middle East and North Africa
Kazakhstan,6.008,10.148,0.937,0.84,-0.098,0.824,0.693,0.162,179000000000.0,4.1,73.15,220450.0,Commonwealth of Independent States
Kenya,4.656,8.344,0.707,0.821,0.291,0.844,0.759,0.237,87778582964.0,6.318450702,66.342,18400.0,Sub-Saharan Africa
Kosovo,6.392,9.296,0.822,0.89,0.269,0.922,0.778,0.17,7942961738.0,3.813314743,72.24390244,,Central and Eastern Europe
Latvia,5.901,10.307,0.913,0.608,-0.212,0.799,0.585,0.192,34399206590.0,4.024311045,74.78292683,7630.0,Central and Eastern Europe
Lebanon,5.167,9.656,0.829,0.607,-0.066,0.907,0.464,0.271,54961275742.0,-1.926404771,78.875,27710.0,Middle East and North Africa
Liberia,4.135,7.311,0.727,0.766,0.05,0.868,0.66,0.436,3264000000.0,1.222551313,63.73,1320.0,Sub-Saharan Africa
Libya,5.494,9.617,0.824,0.781,-0.101,0.646,0.706,0.399,52607888718.0,15.13279989,72.724,58940.0,Middle East and North Africa
Lithuania,6.309,10.474,0.929,0.699,-0.237,0.852,0.517,0.214,53696648755.0,3.936845901,75.6804878,11590.0,Central and Eastern Europe
Luxembourg,7.243,11.645,0.902,0.884,-0.022,0.385,0.75,0.202,70885325883.0,3.110836266,82.29512195,9320.0,Western Europe
Madagascar,4.071,7.386,0.666,0.551,0.003,0.889,0.752,0.362,13614412551.0,3.2,66.681,3370.0,Sub-Saharan Africa
Malawi,3.335,6.949,0.528,0.799,0.073,0.766,0.586,0.365,9712994565.0,4.420621465,63.798,1570.0,Sub-Saharan Africa
Malaysia,5.339,10.223,0.789,0.875,0.127,0.894,0.824,0.2,359000000000.0,4.769927024,75.997,239620.0,Southeast Asia
Maldives,5.198,9.826,0.913,0.855,0.024,,,,5299773144.0,8.128813661,78.627,1910.0,South Asia
Mali,4.416,7.733,0.692,0.737,-0.034,0.793,0.77,0.37,17070866299.0,4.746484327,58.893,5620.0,Sub-Saharan Africa
Malta,6.91,10.67,0.932,0.927,0.179,0.595,0.721,0.296,14864712990.0,5.179224796,82.44878049,1550.0,Western Europe
Mauritania,4.314,8.526,0.802,0.467,-0.112,0.711,0.663,0.276,7050987978.0,2.115267637,64.704,4000.0,Sub-Saharan Africa
Mauritius,5.882,10.008,0.909,0.867,-0.073,0.785,0.774,0.158,14181930162.0,3.759677231,74.41634146,4130.0,Sub-Saharan Africa
Mexico,6.55,9.903,0.858,0.816,-0.179,0.809,0.882,0.213,1220000000000.0,2.194992049,74.992,472140.0,Latin America and Caribbean
Moldova,5.682,9.423,0.892,0.824,-0.084,0.929,0.582,0.27,11456728401.0,4.301477742,71.808,8590.0,Commonwealth of Independent States
Mongolia,5.465,9.386,0.942,0.696,0.054,0.849,0.654,0.192,13108769496.0,7.246629636,69.689,21320.0,East Asia
Montenegro,5.65,9.934,0.856,0.626,-0.051,0.769,0.59,0.355,5506767832.0,5.077865034,76.77,2520.0,Central and Eastern Europe
Morocco,4.897,8.914,0.554,0.773,-0.234,0.843,0.638,0.416,118000000000.0,3.148502644,76.453,66680.0,Middle East and North Africa
Mozambique,4.654,7.162,0.738,0.897,0.049,0.691,0.64,0.397,14845870051.0,3.44381384,60.163,6640.0,Sub-Saharan Africa
Myanmar,4.411,8.523,0.774,0.906,0.49,0.647,0.777,0.3,68697759361.0,6.750460146,66.867,32520.0,Southeast Asia
Namibia,4.834,9.204,0.864,0.754,-0.169,0.846,0.739,0.24,13681065175.0,1.108049093,63.373,4250.0,Sub-Saharan Africa
Nepal,4.91,8.087,0.768,0.77,0.122,0.742,0.537,0.387,33111525183.0,7.622376105,70.478,12030.0,South Asia
Netherlands,7.463,10.941,0.939,0.92,0.161,0.371,0.862,0.205,914000000000.0,2.360915095,81.81219512,151170.0,Western Europe
New Zealand,7.37,10.66,0.954,0.949,0.12,0.207,0.845,0.168,212000000000.0,3.20574788,81.85853659,32210.0,North America and ANZ
Nicaragua,5.819,8.647,0.854,0.797,0.009,0.713,0.793,0.408,13025208220.0,-3.363705717,74.275,5210.0,Latin America and Caribbean
Niger,5.164,7.087,0.612,0.791,0.009,0.637,0.771,0.503,12846952857.0,7.219172668,62.024,2290.0,Sub-Saharan Africa
Nigeria,5.252,8.548,0.741,0.79,-0.01,0.866,0.805,0.256,397000000000.0,1.922757342,54.332,130670.0,Sub-Saharan Africa
North Macedonia,5.24,9.677,0.849,0.745,-0.041,0.91,0.59,0.298,12679934731.0,2.88059671,75.688,7370.0,Central and Eastern Europe
Norway,7.444,11.056,0.966,0.96,0.094,0.268,0.827,0.212,437000000000.0,1.118828827,82.75853659,37350.0,Western Europe
Pakistan,5.472,8.464,0.685,0.773,0.069,0.799,0.567,0.377,315000000000.0,5.836417498,67.114,208370.0,South Asia
Panama,6.281,10.343,0.904,0.861,-0.131,0.837,0.884,0.223,64928300000.0,3.598112758,78.329,10140.0,Latin America and Caribbean
Peru,5.68,9.456,0.845,0.83,-0.178,0.906,0.809,0.38,223000000000.0,3.96915687,76.516,54280.0,Latin America and Caribbean
Philippines,5.869,9.05,0.846,0.918,-0.108,0.726,0.773,0.393,347000000000.0,6.341485571,71.095,142240.0,Southeast Asia
Poland,6.111,10.366,0.863,0.87,-0.254,0.72,0.742,0.176,587000000000.0,5.353704746,77.60243902,312740.0,Central and Eastern Europe
Portugal,5.92,10.434,0.887,0.877,-0.261,0.88,0.679,0.318,242000000000.0,2.849326461,81.32439024,49780.0,Western Europe
Romania,6.151,10.26,0.818,0.845,-0.217,0.921,0.735,0.298,241000000000.0,4.474523775,75.35853659,74880.0,Central and Eastern Europe
Rwanda,3.561,7.644,0.616,0.924,0.057,0.164,0.793,0.308,9640280084.0,8.579424541,68.7,1080.0,Sub-Saharan Africa
Saudi Arabia,6.356,10.771,0.868,0.855,-0.192,,0.764,0.288,787000000000.0,2.434110781,74.998,514600.0,Middle East and North Africa
Senegal,4.769,8.106,0.739,0.629,-0.074,0.805,0.714,0.247,23116699808.0,6.209241034,67.665,9860.0,Sub-Saharan Africa
Serbia,5.936,9.762,0.853,0.74,-0.1,0.864,0.559,0.296,50640650221.0,4.495121293,75.8902439,45540.0,Central and Eastern Europe
Sierra Leone,4.306,7.417,0.65,0.716,0.095,0.856,0.552,0.466,4085114794.0,3.446162621,54.309,1020.0,Sub-Saharan Africa
Singapore,6.375,11.49,0.903,0.916,-0.066,0.097,0.787,0.107,376000000000.0,3.497469601,83.29756098,47360.0,Southeast Asia
Slovenia,6.249,10.546,0.941,0.942,-0.119,0.839,0.644,0.275,54137142149.0,4.422521568,81.37804878,14050.0,Central and Eastern Europe
South Africa,4.884,9.444,0.841,0.753,-0.05,0.841,0.812,0.283,368000000000.0,0.78705557,63.857,433250.0,Sub-Saharan Africa
Spain,6.513,10.605,0.91,0.722,-0.075,0.777,0.659,0.357,1420000000000.0,2.288785676,83.43170732,258340.0,Western Europe
Sri Lanka,4.435,9.462,0.833,0.859,0.106,0.856,0.831,0.302,87954272082.0,3.272000479,76.812,21630.0,South Asia
Sweden,7.375,10.881,0.931,0.942,0.077,0.263,0.823,0.161,555000000000.0,1.950022846,82.55853659,36000.0,Western Europe
Switzerland,7.509,11.134,0.93,0.926,0.101,0.301,0.792,0.192,736000000000.0,2.916905098,83.75365854,37480.0,Western Europe
Tajikistan,5.497,8.082,0.875,,-0.065,0.578,0.695,0.22,7765014424.0,7.599999387,70.879,7330.0,Commonwealth of Independent States
Tanzania,3.445,7.859,0.675,0.807,0.153,0.612,0.762,0.221,57003713748.0,5.444967632,65.015,11580.0,Sub-Saharan Africa
Thailand,6.012,9.803,0.873,0.905,0.259,0.907,0.843,0.198,507000000000.0,4.189585496,76.931,257860.0,Southeast Asia
Togo,4.023,7.348,0.596,0.612,-0.007,0.809,0.608,0.446,7112200725.0,4.9762131,60.76,2260.0,Sub-Saharan Africa
Tunisia,4.741,9.284,0.733,0.65,-0.191,0.84,0.592,0.365,39770478673.0,2.663592389,76.505,29980.0,Middle East and North Africa
Turkey,5.186,10.251,0.847,0.529,-0.176,0.805,0.435,0.351,778000000000.0,2.958966728,77.437,412970.0,Middle East and North Africa
Turkmenistan,4.621,9.605,0.984,0.858,0.26,,0.612,0.189,40765428571.0,6.199999941,68.073,71730.0,Commonwealth of Independent States
Uganda,4.322,7.66,0.74,0.729,0.079,0.856,0.685,0.39,32912338571.0,6.162619139,62.973,6130.0,Sub-Saharan Africa
Ukraine,4.662,9.42,0.901,0.663,-0.074,0.943,0.609,0.222,131000000000.0,3.405295518,71.58268293,185370.0,Commonwealth of Independent States
United Arab Emirates,6.604,11.112,0.851,0.944,0.054,,0.787,0.302,422000000000.0,1.189855638,77.814,200300.0,Middle East and North Africa
United Kingdom,7.233,10.743,0.928,0.838,0.226,0.404,0.783,0.228,2860000000000.0,1.252590613,81.25609756,358800.0,Western Europe
United States,6.883,11.025,0.904,0.825,0.116,0.71,0.815,0.292,20600000000000.0,2.996464352,78.63902439,4981300.0,North America and ANZ
Uruguay,6.372,9.98,0.917,0.876,-0.097,0.683,0.877,0.275,64515038268.0,0.477907184,77.77,6520.0,Latin America and Caribbean
Uzbekistan,6.205,8.818,0.921,0.97,0.318,0.52,0.825,0.209,50392607758.0,5.446444862,71.573,112090.0,Commonwealth of Independent States
Vietnam,5.296,8.934,0.832,0.909,-0.041,0.808,0.692,0.191,245000000000.0,7.075788617,75.317,257860.0,Southeast Asia
Zambia,4.041,8.167,0.718,0.791,0.048,0.811,0.703,0.351,26311637647.0,4.034378235,63.51,7740.0,Sub-Saharan Africa
Zimbabwe,3.616,8.049,0.775,0.763,-0.068,0.844,0.71,0.212,19523622342.0,3.497159535,61.195,12270.0,Sub-Saharan Africa
